DateTime,Name,Placement,Score,#Easy,#Medium,#Hard,#Gold,Gold $$,#Deaths,#Boosts,#Steals,#GoldSteals
2024-02-04 12:37:30 PM,Player 1,1,109,0,0,0,1,109,2,4,0,0

2024-02-04 3:12:21 PM,Player 1,1,289,1,1,1,1,109,0,3,0,0

2024-02-04 5:01:19 PM,Player 1,1,117,0,0,0,1,117,0,4,0,0

2024-02-04 9:56:08 PM,Player 1,1,123,0,0,0,1,123,2,6,0,0

2024-02-04 10:37:43 PM,Player 1,1,109,0,0,0,1,109,0,5,0,0
2024-02-04 10:37:43 PM,Player 2,2,0,0,0,0,0,109,0,0,0,0

2024-02-04 10:40:09 PM,Player 1,2,0,0,0,0,0,112,0,1,0,0
2024-02-04 10:40:09 PM,Player 2,1,112,0,0,0,1,112,0,3,0,0

